station,rows_original,rows_completed,inserted_rows,invalid_datetime,imputed_values
E403,14100,14100,0,0,29430
E404,14100,14100,0,0,29385
E405,14100,14100,0,0,30026
E407,14100,14100,0,0,30104
E408,14100,14100,0,0,29648
E409,14100,14100,0,0,29476
E410,14100,14100,0,0,30070
E411,14100,14100,0,0,29372
E412,14100,14100,0,0,29376
E413,14100,14100,0,0,29402
E414,14100,14100,0,0,29458
E415,14100,14100,0,0,29571
E417,14100,14100,0,0,30350
E418,14100,14100,0,0,29376
E420,14100,14100,0,0,29374
E421,14100,14100,0,0,29460
E423,14100,14100,0,0,29612
E801,14100,14100,0,0,29358
E802,14100,14100,0,0,29530
E803,14100,14100,0,0,32464
E804,14100,14100,0,0,30209
